module	version	evidence_path	actual_sha256	expected_sha256	license_type	detection_basis	exists	hash_match	graph_match	status
dario.cat/mergo	v1.0.2	<GOMODCACHE>/dario.cat//mergo@v1.0.2/LICENSE	cb7684632b729955293cab8a0bbf4134d53d9532a30761c33c8a4878302a7bd3	cb7684632b729955293cab8a0bbf4134d53d9532a30761c33c8a4878302a7bd3	BSD-3-Clause	Copyright (c) 2013 Dario Castañé. All rights reserved.	true	true	true	OK
filippo.io/edwards25519	v1.1.0	<GOMODCACHE>/filippo.io//edwards25519@v1.1.0/LICENSE	2d36597f7117c38b006835ae7f537487207d8ec407aa9d9980794b2030cbc067	2d36597f7117c38b006835ae7f537487207d8ec407aa9d9980794b2030cbc067	BSD-3-Clause	Copyright (c) 2009 The Go Authors. All rights reserved.	true	true	true	OK
github.com/Azure/go-ansiterm	v0.0.0-20250102033503-faa5f7b0171c	<GOMODCACHE>/github.com//!azure//go-ansiterm@v0.0.0-20250102033503-faa5f7b0171c/LICENSE	db25a2687ca23d8aedd282353fd23f64f7a0a74b586549cc43080e0a6eabe7b0	db25a2687ca23d8aedd282353fd23f64f7a0a74b586549cc43080e0a6eabe7b0	MIT	The MIT License (MIT)	true	true	true	OK
github.com/Microsoft/go-winio	v0.6.2	<GOMODCACHE>/github.com//!microsoft//go-winio@v0.6.2/LICENSE	cf248820bf1178370bb4f1670a59f8748d46bc96d0f64080cd631511c6046409	cf248820bf1178370bb4f1670a59f8748d46bc96d0f64080cd631511c6046409	MIT	The MIT License (MIT)	true	true	true	OK
github.com/bytebase/omni	v0.0.0-20260728103305-d2f82de1b468	<GOMODCACHE>/github.com//bytebase//omni@v0.0.0-20260728103305-d2f82de1b468/LICENSE	4c4b71ccdeaea87bdde160d0fc1d4187e3f7495ca122b9bef78fa0175d9054ba	4c4b71ccdeaea87bdde160d0fc1d4187e3f7495ca122b9bef78fa0175d9054ba	MIT	MIT License	true	true	true	OK
github.com/cenkalti/backoff/v4	v4.3.0	<GOMODCACHE>/github.com//cenkalti//backoff//v4@v4.3.0/LICENSE	5c0476add4c38b55d0ed5ac11b85e00c38f26e1caee20dfe3ab58190103d1fbc	5c0476add4c38b55d0ed5ac11b85e00c38f26e1caee20dfe3ab58190103d1fbc	MIT	The MIT License (MIT)	true	true	true	OK
github.com/cespare/xxhash/v2	v2.3.0	<GOMODCACHE>/github.com//cespare//xxhash//v2@v2.3.0/LICENSE.txt	f566a9f97bacdaf00d9f21dd991e81dc11201c4e016c86b470799429a1c9a79c	f566a9f97bacdaf00d9f21dd991e81dc11201c4e016c86b470799429a1c9a79c	MIT	Copyright (c) 2016 Caleb Spare	true	true	true	OK
github.com/containerd/errdefs	v1.0.0	<GOMODCACHE>/github.com//containerd//errdefs@v1.0.0/LICENSE	4bbe3b885e8cd1907ab4cf9a41e862e74e24b5422297a4f2fe524e6a30ada2b4	4bbe3b885e8cd1907ab4cf9a41e862e74e24b5422297a4f2fe524e6a30ada2b4	Apache-2.0	Apache License	true	true	true	OK
github.com/containerd/errdefs/pkg	v0.3.0	<GOMODCACHE>/github.com//containerd//errdefs//pkg@v0.3.0/LICENSE	4bbe3b885e8cd1907ab4cf9a41e862e74e24b5422297a4f2fe524e6a30ada2b4	4bbe3b885e8cd1907ab4cf9a41e862e74e24b5422297a4f2fe524e6a30ada2b4	Apache-2.0	Apache License	true	true	true	OK
github.com/containerd/log	v0.1.0	<GOMODCACHE>/github.com//containerd//log@v0.1.0/LICENSE	4bbe3b885e8cd1907ab4cf9a41e862e74e24b5422297a4f2fe524e6a30ada2b4	4bbe3b885e8cd1907ab4cf9a41e862e74e24b5422297a4f2fe524e6a30ada2b4	Apache-2.0	Apache License	true	true	true	OK
github.com/containerd/platforms	v0.2.1	<GOMODCACHE>/github.com//containerd//platforms@v0.2.1/LICENSE	4bbe3b885e8cd1907ab4cf9a41e862e74e24b5422297a4f2fe524e6a30ada2b4	4bbe3b885e8cd1907ab4cf9a41e862e74e24b5422297a4f2fe524e6a30ada2b4	Apache-2.0	Apache License	true	true	true	OK
github.com/cpuguy83/dockercfg	v0.3.2	<GOMODCACHE>/github.com//cpuguy83//dockercfg@v0.3.2/LICENSE	6b29b5887ad910cc1743f03989210e1efc5c02297998fbf80960cfc051a8c330	6b29b5887ad910cc1743f03989210e1efc5c02297998fbf80960cfc051a8c330	MIT	MIT License	true	true	true	OK
github.com/davecgh/go-spew	v1.1.1	<GOMODCACHE>/github.com//davecgh//go-spew@v1.1.1/LICENSE	1b93a317849ee09d3d7e4f1d20c2b78ddb230b4becb12d7c224c927b9d470251	1b93a317849ee09d3d7e4f1d20c2b78ddb230b4becb12d7c224c927b9d470251	ISC	ISC License	true	true	true	OK
github.com/distribution/reference	v0.6.0	<GOMODCACHE>/github.com//distribution//reference@v0.6.0/LICENSE	cb5e8e7e5f4a3988e1063c142c60dc2df75605f4c46515e776e3aca6df976e14	cb5e8e7e5f4a3988e1063c142c60dc2df75605f4c46515e776e3aca6df976e14	Apache-2.0	Apache License	true	true	true	OK
github.com/docker/docker	v28.5.2+incompatible	<GOMODCACHE>/github.com//docker//docker@v28.5.2+incompatible/LICENSE	7c87873291f289713ac5df48b1f2010eb6963752bbd6b530416ab99fc37914a8	7c87873291f289713ac5df48b1f2010eb6963752bbd6b530416ab99fc37914a8	Apache-2.0	Apache License	true	true	true	OK
github.com/docker/go-connections	v0.6.0	<GOMODCACHE>/github.com//docker//go-connections@v0.6.0/LICENSE	ba3065d2f4b11bb42a0f7b708b021d1c28fa45d097b3eab3e7db9ab4745040d1	ba3065d2f4b11bb42a0f7b708b021d1c28fa45d097b3eab3e7db9ab4745040d1	Apache-2.0	Apache License	true	true	true	OK
github.com/docker/go-units	v0.5.0	<GOMODCACHE>/github.com//docker//go-units@v0.5.0/LICENSE	ba3065d2f4b11bb42a0f7b708b021d1c28fa45d097b3eab3e7db9ab4745040d1	ba3065d2f4b11bb42a0f7b708b021d1c28fa45d097b3eab3e7db9ab4745040d1	Apache-2.0	Apache License	true	true	true	OK
github.com/ebitengine/purego	v0.10.0	<GOMODCACHE>/github.com//ebitengine//purego@v0.10.0/LICENSE	b40930bbcf80744c86c46a12bc9da056641d722716c378f5659b9e555ef833e1	b40930bbcf80744c86c46a12bc9da056641d722716c378f5659b9e555ef833e1	Apache-2.0	Apache License	true	true	true	OK
github.com/felixge/httpsnoop	v1.0.4	<GOMODCACHE>/github.com//felixge//httpsnoop@v1.0.4/LICENSE.txt	8108e14b5cb2b6bcd51583d3849ef0c2b5c4de61758256c20308bc70d1775dbb	8108e14b5cb2b6bcd51583d3849ef0c2b5c4de61758256c20308bc70d1775dbb	MIT	Copyright (c) 2016 Felix Geisendörfer (felix@debuggable.com)	true	true	true	OK
github.com/go-logr/logr	v1.4.3	<GOMODCACHE>/github.com//go-logr//logr@v1.4.3/LICENSE	b40930bbcf80744c86c46a12bc9da056641d722716c378f5659b9e555ef833e1	b40930bbcf80744c86c46a12bc9da056641d722716c378f5659b9e555ef833e1	Apache-2.0	Apache License	true	true	true	OK
github.com/go-logr/stdr	v1.2.2	<GOMODCACHE>/github.com//go-logr//stdr@v1.2.2/LICENSE	c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4	c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4	Apache-2.0	Apache License	true	true	true	OK
